archivo,tiempo_combate,puntaje_A,puntaje_O,var_puntaje_A,var_puntaje_O,mantencion_A,mantencion_O,efectividad_A,efectividad_O
registro_bjj_20251211_100144.csv,210,20,28,42.42424242424243,103.36363636363636,12.8,10.285714285714286,40.0,57.14285714285714
registro_bjj_20251211_100213.csv,56,0,0,0.0,0.0,0.0,8.0,0.0,50.0
registro_bjj_20251211_100643.csv,137,9,0,22.5,0.0,9.5,8.142857142857142,50.0,28.57142857142857
registro_bjj_20251211_100701.csv,73,0,17,0.0,25.2,0.0,8.6,0.0,100.0
registro_bjj_20251211_100746.csv,174,0,12,0.0,22.472727272727276,8.0,10.222222222222221,0.0,33.33333333333333
registro_bjj_20251211_100803.csv,196,0,20,0.0,39.27272727272728,12.333333333333334,11.125,0.0,50.0
registro_bjj_20251211_100818.csv,88,0,12,0.0,8.166666666666666,0.0,8.833333333333334,0.0,66.66666666666666
registro_bjj_20251211_100909.csv,70,0,15,0.0,51.0,0.0,11.5,0.0,75.0
registro_bjj_20251211_100925.csv,95,0,22,0.0,87.2,0.0,9.166666666666666,0.0,66.66666666666666
registro_bjj_20251211_101010.csv,364,10,5,4.761904761904762,1.190476190476191,10.625,10.23076923076923,37.5,30.76923076923077
