tiempo,actor,tecnica,resultado,mantencion,pos_A,pos_O,puntaje_A,puntaje_O
19,A,T02_Proyección_Osoto_Gari_fallido,fallo,10,De_Pie,De_Pie,0,0
40,A,T32_Derribo_a_una_Pierna_fallido,fallo,11,De_Pie,De_Pie,0,0
58,A,T02_Proyección_Osoto_Gari_fallido,fallo,9,De_Pie,De_Pie,0,0
74,O,T01_inv_Derribo_de_Doble_Pierna_fallido,fallo,10,De_Pie,De_Pie,0,0
95,O,T32_inv_Derribo_a_una_Pierna_fallido,fallo,11,De_Pie,De_Pie,0,0
118,O,T32_inv_Derribo_a_una_Pierna_fallido,fallo,13,De_Pie,De_Pie,0,0
141,A,T02_Proyección_Osoto_Gari_exitoso,exito,14,Control_Lateral_Superior,Control_Lateral_Inferior,9,0
157,A,T22_Transición_a_la_Montada_exitoso,exito,9,Montada_Superior,Montada_Inferior,15,0
169,A,T43_Toma_de_Espalda_desde_Montada_fallido,fallo,7,Media_Guardia_Inferior,Media_Guardia_Superior,15,0
186,O,T49_inv_Pasaje_de_Aplastamiento_(Smash)_exitoso,exito,10,Control_Lateral_Inferior,Control_Lateral_Superior,15,0
202,O,T41_inv_Transición_a_Norte-Sur_exitoso,exito,8,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
221,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,11,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
241,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,12,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
264,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,15,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
284,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,12,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
304,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,12,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
325,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,13,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
344,O,T47_inv_Estrangulamiento_Norte-Sur_fallido,fallo,11,Norte_Sur_Inferior,Norte_Sur_Superior,15,10
368,O,T47_inv_Estrangulamiento_Norte-Sur_exitoso,exito,16,,,15,20
