tiempo,actor,tecnica,resultado,mantencion,pos_A,pos_O,puntaje_A,puntaje_O
19,O,T31_inv_Llamada_a_la_Guardia_(Guard_Pull)_fallido,fallo,12,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,0
40,O,T34_inv_Raspado_de_Péndulo_exitoso,exito,13,Montada_Inferior,Montada_Superior,0,0
61,A,T17_Escape_de_Upa_(Puente_y_Giro)_fallido,fallo,16,Montada_Inferior,Montada_Superior,0,0
73,O,T43_inv_Toma_de_Espalda_desde_Montada_exitoso,exito,7,Espalda_Controlado,Espalda_Control,0,10
85,A,T20_Escape_de_la_Espalda_fallido,fallo,4,Espalda_Controlado,Espalda_Control,0,10
99,A,T20_Escape_de_la_Espalda_fallido,fallo,6,Espalda_Controlado,Espalda_Control,0,10
111,A,T20_Escape_de_la_Espalda_exitoso,exito,4,Guardia_de_Tortuga,Control_Tortuga,0,10
134,A,T39_Rodar_hacia_la_Guardia_(desde_Tortuga)_fallido,fallo,14,Control_Lateral_Inferior,Control_Lateral_Superior,0,10
151,O,T15_inv_Estrangulamiento_D'Arce_fallido,fallo,7,Control_Lateral_Inferior,Control_Lateral_Superior,0,10
166,O,T41_inv_Transición_a_Norte-Sur_fallido,fallo,7,Control_Tortuga,Guardia_de_Tortuga,0,10
180,A,T23_Toma_de_Espalda_desde_Tortuga_fallido,fallo,9,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,10
190,A,T05_Pase_de_Guardia_por_Apilamiento_fallido,fallo,4,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,10
209,O,T24_inv_Romper_Postura_en_Guardia_exitoso,exito,12,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,17
226,O,T07_inv_Palanca_de_Brazo_(Armbar)_fallido,fallo,8,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,17
244,O,T45_inv_Establecer_Guardia_De_La_Riva_fallido,fallo,12,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,17
258,O,T10_inv_Omoplata_fallido,fallo,8,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,17
276,O,T45_inv_Establecer_Guardia_De_La_Riva_fallido,fallo,12,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,17
298,A,T03_Pase_de_Guardia_Torreando_exitoso,exito,15,Control_Lateral_Superior,Control_Lateral_Inferior,7,17
312,O,T19_inv_Recuperación_de_Guardia_(Reguard)_fallido,fallo,7,Norte_Sur_Superior,Norte_Sur_Inferior,7,17
333,A,T47_Estrangulamiento_Norte-Sur_fallido,fallo,13,Norte_Sur_Superior,Norte_Sur_Inferior,7,17
352,A,T47_Estrangulamiento_Norte-Sur_fallido,fallo,11,Norte_Sur_Superior,Norte_Sur_Inferior,7,17
372,A,T47_Estrangulamiento_Norte-Sur_fallido,fallo,12,Norte_Sur_Superior,Norte_Sur_Inferior,7,17
