tiempo,actor,tecnica,resultado,mantencion,pos_A,pos_O,puntaje_A,puntaje_O
16,O,T01_inv_Derribo_de_Doble_Pierna_fallido,fallo,10,De_Pie,De_Pie,0,0
30,A,T01_Derribo_de_Doble_Pierna_fallido,fallo,8,De_Pie,De_Pie,0,0
46,O,T01_inv_Derribo_de_Doble_Pierna_fallido,fallo,10,De_Pie,De_Pie,0,0
59,O,T01_inv_Derribo_de_Doble_Pierna_fallido,fallo,7,De_Pie,De_Pie,0,0
72,O,T01_inv_Derribo_de_Doble_Pierna_fallido,fallo,7,De_Pie,De_Pie,0,0
86,A,T01_Derribo_de_Doble_Pierna_fallido,fallo,8,De_Pie,De_Pie,0,0
102,O,T01_inv_Derribo_de_Doble_Pierna_exitoso,exito,10,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
111,O,T44_inv_Forzar_Media_Guardia_fallido,fallo,4,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
134,O,T03_inv_Pase_de_Guardia_Torreando_fallido,fallo,16,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
156,O,T03_inv_Pase_de_Guardia_Torreando_exitoso,exito,15,Control_Lateral_Inferior,Control_Lateral_Superior,0,12
174,O,T14_inv_Kimura_desde_Control_Lateral_exitoso,exito,13,,,0,12
