tiempo,actor,tecnica,resultado,mantencion,pos_A,pos_O,puntaje_A,puntaje_O
17,O,T01_inv_Derribo_de_Doble_Pierna_exitoso,exito,11,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
41,A,T45_Establecer_Guardia_De_La_Riva_fallido,fallo,18,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
51,O,T44_inv_Forzar_Media_Guardia_exitoso,exito,5,Media_Guardia_Inferior,Media_Guardia_Superior,0,11
71,O,T49_inv_Pasaje_de_Aplastamiento_(Smash)_exitoso,exito,13,Control_Lateral_Inferior,Control_Lateral_Superior,0,20
88,O,T41_inv_Transición_a_Norte-Sur_fallido,fallo,9,Control_Tortuga,Guardia_de_Tortuga,0,20
101,A,T23_Toma_de_Espalda_desde_Tortuga_fallido,fallo,8,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,20
120,O,T45_inv_Establecer_Guardia_De_La_Riva_fallido,fallo,13,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,20
141,O,T45_inv_Establecer_Guardia_De_La_Riva_fallido,fallo,15,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,20
161,O,T45_inv_Establecer_Guardia_De_La_Riva_fallido,fallo,14,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,20
177,A,T48_Pasaje_por_Encima_(Over-Under)_fallido,fallo,11,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,20
196,O,T08_inv_Estrangulamiento_de_Guillotina_exitoso,exito,9,,,0,20
