tiempo,actor,tecnica,resultado,mantencion,pos_A,pos_O,puntaje_A,puntaje_O
15,A,T01_Derribo_de_Doble_Pierna_fallido,fallo,9,De_Pie,De_Pie,0,0
30,O,T01_inv_Derribo_de_Doble_Pierna_exitoso,exito,9,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
40,O,T44_inv_Forzar_Media_Guardia_fallido,fallo,5,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
61,O,T03_inv_Pase_de_Guardia_Torreando_fallido,fallo,14,Guardia_Abierta_Inferior,Guardia_Abierta_Superior,0,5
81,A,T34_Raspado_de_Péndulo_fallido,fallo,12,Control_Lateral_Inferior,Control_Lateral_Superior,0,5
97,O,T14_inv_Kimura_desde_Control_Lateral_fallido,fallo,11,Guardia_Abierta_Superior,Guardia_Abierta_Inferior,0,5
106,A,T44_Forzar_Media_Guardia_exitoso,exito,4,Media_Guardia_Superior,Media_Guardia_Inferior,0,5
129,A,T04_Pase_de_Rodilla_Deslizante_fallido,fallo,15,Media_Guardia_Superior,Media_Guardia_Inferior,0,5
149,A,T04_Pase_de_Rodilla_Deslizante_exitoso,exito,12,Control_Lateral_Superior,Control_Lateral_Inferior,0,5
162,O,T19_inv_Recuperación_de_Guardia_(Reguard)_exitoso,exito,6,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,5
176,O,T09_inv_Raspado_de_Tijera_exitoso,exito,9,Montada_Inferior,Montada_Superior,0,5
199,O,T13_inv_Palanca_de_Brazo_desde_Montada_fallido,fallo,13,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,5
211,A,T25_Ponerse_de_Pie_en_la_Guardia_fallido,fallo,4,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,5
225,O,T09_inv_Raspado_de_Tijera_exitoso,exito,9,Montada_Inferior,Montada_Superior,0,5
242,O,T42_inv_Transición_a_S-Mount_fallido,fallo,12,Montada_Inferior,Montada_Superior,0,5
262,O,T42_inv_Transición_a_S-Mount_fallido,fallo,15,Montada_Inferior,Montada_Superior,0,5
283,O,T13_inv_Palanca_de_Brazo_desde_Montada_fallido,fallo,11,Guardia_Cerrada_Superior,Guardia_Cerrada_Inferior,0,5
304,O,T08_inv_Estrangulamiento_de_Guillotina_fallido,fallo,11,Control_Lateral_Superior,Control_Lateral_Inferior,0,5
319,O,T19_inv_Recuperación_de_Guardia_(Reguard)_fallido,fallo,8,Norte_Sur_Superior,Norte_Sur_Inferior,0,5
341,A,T47_Estrangulamiento_Norte-Sur_fallido,fallo,14,Norte_Sur_Superior,Norte_Sur_Inferior,0,5
364,A,T47_Estrangulamiento_Norte-Sur_exitoso,exito,15,,,10,5
